1436	S43	29.1	2023-11-01 09:00:00
1437	S44	28.0	2023-11-01 09:00:00
1438	S121	28.9	2023-11-01 09:00:00
1439	S111	28.0	2023-11-01 09:00:00
1440	S60	30.1	2023-11-01 09:00:00
1441	S115	28.4	2023-11-01 09:00:00
1442	S24	29.7	2023-11-01 09:00:00
1443	S116	28.5	2023-11-01 09:00:00
1444	S104	28.5	2023-11-01 09:00:00
1445	S109	30.0	2023-11-01 10:00:00
1446	S117	28.7	2023-11-01 10:00:00
1447	S50	29.8	2023-11-01 10:00:00
1448	S107	30.8	2023-11-01 10:00:00
1449	S43	30.7	2023-11-01 10:00:00
1450	S44	28.4	2023-11-01 10:00:00
1451	S121	29.8	2023-11-01 10:00:00
1452	S111	29.6	2023-11-01 10:00:00
1453	S60	29.6	2023-11-01 10:00:00
1454	S115	28.2	2023-11-01 10:00:00
1455	S24	30.1	2023-11-01 10:00:00
1456	S116	29.0	2023-11-01 10:00:00
1457	S104	29.2	2023-11-01 10:00:00
1458	S109	30.5	2023-11-01 11:00:00
1459	S117	30.1	2023-11-01 11:00:00
1460	S50	31.0	2023-11-01 11:00:00
1461	S107	30.0	2023-11-01 11:00:00
1462	S43	30.8	2023-11-01 11:00:00
1463	S44	29.3	2023-11-01 11:00:00
1464	S121	30.9	2023-11-01 11:00:00
1465	S111	30.9	2023-11-01 11:00:00
1466	S60	29.8	2023-11-01 11:00:00
1467	S115	29.3	2023-11-01 11:00:00
1468	S24	31.7	2023-11-01 11:00:00
1469	S116	29.6	2023-11-01 11:00:00
1470	S104	30.0	2023-11-01 11:00:00
1471	S109	31.8	2023-11-01 12:00:00
1472	S117	31.4	2023-11-01 12:00:00
1473	S50	32.4	2023-11-01 12:00:00
1474	S107	29.8	2023-11-01 12:00:00
1475	S43	31.1	2023-11-01 12:00:00
1476	S44	30.3	2023-11-01 12:00:00
1477	S121	32.2	2023-11-01 12:00:00
1478	S111	31.1	2023-11-01 12:00:00
1479	S60	29.5	2023-11-01 12:00:00
1480	S115	29.9	2023-11-01 12:00:00
1481	S24	31.2	2023-11-01 12:00:00
1482	S116	30.2	2023-11-01 12:00:00
1483	S104	31.8	2023-11-01 12:00:00
1484	S109	31.9	2023-11-01 13:00:00
1485	S117	31.2	2023-11-01 13:00:00
1486	S50	30.6	2023-11-01 13:00:00
1487	S107	29.9	2023-11-01 13:00:00
1488	S43	33.2	2023-11-01 13:00:00
1489	S44	29.4	2023-11-01 13:00:00
1490	S121	30.5	2023-11-01 13:00:00
1491	S111	29.8	2023-11-01 13:00:00
1492	S60	30.0	2023-11-01 13:00:00
1493	S115	30.2	2023-11-01 13:00:00
1494	S24	32.0	2023-11-01 13:00:00
1495	S116	30.3	2023-11-01 13:00:00
1496	S104	32.1	2023-11-01 13:00:00
1497	S109	30.1	2023-11-01 14:00:00
1498	S117	31.5	2023-11-01 14:00:00
1499	S50	25.1	2023-11-01 14:00:00
1500	S107	30.0	2023-11-01 14:00:00
1501	S43	31.6	2023-11-01 14:00:00
1502	S44	29.4	2023-11-01 14:00:00
1503	S121	26.9	2023-11-01 14:00:00
1504	S111	29.3	2023-11-01 14:00:00
1505	S60	30.2	2023-11-01 14:00:00
1506	S115	30.1	2023-11-01 14:00:00
1507	S24	31.3	2023-11-01 14:00:00
1508	S116	29.5	2023-11-01 14:00:00
1509	S104	30.0	2023-11-01 14:00:00
1510	S109	26.7	2023-11-01 15:00:00
1511	S117	31.9	2023-11-01 15:00:00
1512	S50	30.7	2023-11-01 15:00:00
1513	S107	30.0	2023-11-01 15:00:00
1514	S43	30.1	2023-11-01 15:00:00
1515	S44	28.6	2023-11-01 15:00:00
1516	S121	31.2	2023-11-01 15:00:00
1517	S111	30.1	2023-11-01 15:00:00
1518	S60	30.3	2023-11-01 15:00:00
1519	S115	30.3	2023-11-01 15:00:00
1520	S24	31.3	2023-11-01 15:00:00
1521	S116	30.4	2023-11-01 15:00:00
1522	S104	26.6	2023-11-01 15:00:00
1523	S109	29.4	2023-11-01 16:00:00
1524	S117	30.6	2023-11-01 16:00:00
1525	S50	29.8	2023-11-01 16:00:00
1526	S107	30.0	2023-11-01 16:00:00
1527	S43	30.6	2023-11-01 16:00:00
1528	S44	28.5	2023-11-01 16:00:00
1529	S121	30.1	2023-11-01 16:00:00
1530	S111	29.5	2023-11-01 16:00:00
1531	S60	30.4	2023-11-01 16:00:00
1532	S115	30.4	2023-11-01 16:00:00
1533	S24	30.2	2023-11-01 16:00:00
1534	S116	29.8	2023-11-01 16:00:00
1535	S104	26.1	2023-11-01 16:00:00
1536	S109	26.8	2023-11-01 17:00:00
1537	S117	28.9	2023-11-01 17:00:00
1538	S50	27.2	2023-11-01 17:00:00
1539	S107	29.8	2023-11-01 17:00:00
1540	S43	28.8	2023-11-01 17:00:00
1541	S44	25.8	2023-11-01 17:00:00
1542	S121	26.2	2023-11-01 17:00:00
1543	S111	28.1	2023-11-01 17:00:00
1544	S60	31.6	2023-11-01 17:00:00
1545	S115	27.7	2023-11-01 17:00:00
1546	S24	28.7	2023-11-01 17:00:00
1547	S116	28.1	2023-11-01 17:00:00
1548	S104	25.8	2023-11-01 17:00:00
1549	S109	27.5	2023-11-01 18:00:00
1550	S117	28.6	2023-11-01 18:00:00
1551	S50	27.2	2023-11-01 18:00:00
1552	S107	29.6	2023-11-01 18:00:00
1553	S43	28.9	2023-11-01 18:00:00
1554	S44	26.2	2023-11-01 18:00:00
1555	S121	26.5	2023-11-01 18:00:00
1556	S111	27.1	2023-11-01 18:00:00
1557	S60	29.3	2023-11-01 18:00:00
1558	S115	27.6	2023-11-01 18:00:00
1559	S24	28.0	2023-11-01 18:00:00
1560	S116	27.6	2023-11-01 18:00:00
1561	S104	26.4	2023-11-01 18:00:00
1562	S109	27.1	2023-11-01 19:00:00
1563	S117	28.7	2023-11-01 19:00:00
1564	S50	27.3	2023-11-01 19:00:00
1565	S107	29.5	2023-11-01 19:00:00
1566	S43	28.4	2023-11-01 19:00:00
1567	S44	26.1	2023-11-01 19:00:00
1568	S121	26.2	2023-11-01 19:00:00
1569	S111	27.0	2023-11-01 19:00:00
1570	S60	28.6	2023-11-01 19:00:00
1571	S115	27.2	2023-11-01 19:00:00
1572	S24	27.6	2023-11-01 19:00:00
1573	S116	28.3	2023-11-01 19:00:00
1574	S104	26.4	2023-11-01 19:00:00
1575	S109	27.0	2023-11-01 20:00:00
1576	S117	28.2	2023-11-01 20:00:00
1577	S50	27.2	2023-11-01 20:00:00
1578	S107	28.9	2023-11-01 20:00:00
1579	S43	28.3	2023-11-01 20:00:00
1580	S44	26.3	2023-11-01 20:00:00
1581	S121	26.4	2023-11-01 20:00:00
1582	S111	26.9	2023-11-01 20:00:00
1583	S60	28.4	2023-11-01 20:00:00
1584	S115	27.4	2023-11-01 20:00:00
1585	S24	27.2	2023-11-01 20:00:00
1586	S116	28.4	2023-11-01 20:00:00
1587	S104	26.5	2023-11-01 20:00:00
1588	S109	26.8	2023-11-01 21:00:00
1589	S117	28.3	2023-11-01 21:00:00
1590	S50	27.1	2023-11-01 21:00:00
1591	S107	29.1	2023-11-01 21:00:00
1592	S43	28.5	2023-11-01 21:00:00
1593	S44	25.8	2023-11-01 21:00:00
1594	S121	26.0	2023-11-01 21:00:00
1595	S111	27.1	2023-11-01 21:00:00
1596	S60	28.4	2023-11-01 21:00:00
1597	S115	27.6	2023-11-01 21:00:00
1598	S24	27.3	2023-11-01 21:00:00
1599	S116	28.4	2023-11-01 21:00:00
1600	S104	26.0	2023-11-01 21:00:00
1601	S109	26.5	2023-11-01 22:00:00
1602	S117	27.9	2023-11-01 22:00:00
1603	S50	26.7	2023-11-01 22:00:00
1604	S107	28.9	2023-11-01 22:00:00
1605	S43	28.4	2023-11-01 22:00:00
1606	S44	25.6	2023-11-01 22:00:00
1607	S121	25.8	2023-11-01 22:00:00
1608	S111	26.8	2023-11-01 22:00:00
1609	S60	28.2	2023-11-01 22:00:00
1610	S115	27.3	2023-11-01 22:00:00
1611	S24	27.0	2023-11-01 22:00:00
1612	S116	27.6	2023-11-01 22:00:00
1613	S104	25.6	2023-11-01 22:00:00
1614	S109	26.2	2023-11-01 23:00:00
1615	S117	27.4	2023-11-01 23:00:00
1616	S50	26.5	2023-11-01 23:00:00
1617	S107	28.5	2023-11-01 23:00:00
1618	S43	27.6	2023-11-01 23:00:00
1619	S44	25.3	2023-11-01 23:00:00
1620	S121	25.6	2023-11-01 23:00:00
1621	S111	26.2	2023-11-01 23:00:00
1622	S60	27.7	2023-11-01 23:00:00
1623	S115	26.9	2023-11-01 23:00:00
1624	S24	26.5	2023-11-01 23:00:00
1625	S116	27.8	2023-11-01 23:00:00
1626	S104	25.3	2023-11-01 23:00:00
1627	S109	26.2	2023-11-02 00:00:00
1628	S117	27.5	2023-11-02 00:00:00
1629	S50	26.3	2023-11-02 00:00:00
1630	S107	28.4	2023-11-02 00:00:00
1631	S43	27.6	2023-11-02 00:00:00
1632	S44	25.1	2023-11-02 00:00:00
1633	S121	25.5	2023-11-02 00:00:00
1634	S111	26.1	2023-11-02 00:00:00
1635	S60	27.6	2023-11-02 00:00:00
1636	S115	27.0	2023-11-02 00:00:00
1637	S24	26.3	2023-11-02 00:00:00
